unique_id,plate_id,well,cell_line,treatment,day,genotype,repeat_positive_control_TF,repeat_positive_control_length,metrics_baseline_control_TF
20230413_A01.fsa,20230414,A01,CC4,0,29,non-edited,,,
20230413_A02.fsa,20230414,A02,CC4,0,29,non-edited,,,
20230413_A03.fsa,20230414,A03,CC4,0,29,non-edited,,,
20230413_A04.fsa,20230414,A04,CC5,0,29,non-edited,,,
20230413_A05.fsa,20230414,A05,CC5,0,29,non-edited,,,
20230413_A06.fsa,20230414,A06,CC5,0,29,non-edited,,,
20230413_A07.fsa,20230414,A07,CC6,0,29,non-edited,,,
20230413_A08.fsa,20230414,A08,CC6,0,29,non-edited,,,
20230413_A09.fsa,20230414,A09,CC6,0,29,non-edited,,,
20230413_A10.fsa,20230414,A10,P3,0,29,edited,,,
20230413_A11.fsa,20230414,A11,P3,0,29,edited,,,
20230413_A12.fsa,20230414,A12,P3,0,29,edited,,,
20230413_B01.fsa,20230414,B01,P6,0,29,edited,,,
20230413_B02.fsa,20230414,B02,P6,0,29,edited,,,
20230413_B03.fsa,20230414,B03,P6,0,29,edited,,,
20230413_B04.fsa,20230414,B04,P14,0,29,edited,,,
20230413_B05.fsa,20230414,B05,P14,0,29,edited,,,
20230413_B06.fsa,20230414,B06,P14,0,29,edited,,,
20230413_B07.fsa,20230414,B07,CC4,100,29,non-edited,,,
20230413_B08.fsa,20230414,B08,CC4,100,29,non-edited,,,
20230413_B09.fsa,20230414,B09,CC4,100,29,non-edited,,,
20230413_B10.fsa,20230414,B10,CC5,100,29,non-edited,,,
20230413_B11.fsa,20230414,B11,CC5,100,29,non-edited,,,
20230413_B12.fsa,20230414,B12,CC5,100,29,non-edited,,,
20230413_C01.fsa,20230414,C01,CC6,100,29,non-edited,,,
20230413_C02.fsa,20230414,C02,CC6,100,29,non-edited,,,
20230413_C03.fsa,20230414,C03,CC6,100,29,non-edited,,,
20230413_C04.fsa,20230414,C04,P3,100,29,edited,,,
20230413_C05.fsa,20230414,C05,P3,100,29,edited,,,
20230413_C06.fsa,20230414,C06,P3,100,29,edited,,,
20230413_C07.fsa,20230414,C07,P6,100,29,edited,,,
20230413_C08.fsa,20230414,C08,P6,100,29,edited,,,
20230413_C09.fsa,20230414,C09,P6,100,29,edited,,,
20230413_C10.fsa,20230414,C10,P14,100,29,edited,,,
20230413_C11.fsa,20230414,C11,P14,100,29,edited,,,
20230413_C12.fsa,20230414,C12,P14,100,29,edited,,,
20230413_D01.fsa,20230414,D01,CC4,200,29,non-edited,,,
20230413_D02.fsa,20230414,D02,CC4,200,29,non-edited,,,
